Banco,Tasa,CAE,Div_SSEG,SEG_INCSIS,SEG_DESG,PRIM_DIV,COSTO_TOTCRED,TOT_DIVUF,TOT_DIV$,Plazo,TOT_Seg,Dividendo_CSEG,ValorProp,MontoCre,Fecha,Producto,PlazoFijo
BCHILE,"2,79","3,24","32,15","0,29","0,18",,,"32,62",,"5,00","0,47","32,62","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"2,79","3,24","53,58","0,48","0,30",,,"54,36",,"5,00","0,78","54,36","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"2,69","3,14","124,72","1,11","0,71",,,"126,54",,"5,00","1,82","126,54","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,09","3,52","21,15","0,29","0,18",,,"21,62",,"8,00","0,47","21,62","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"3,09","3,52","35,25","0,48","0,30",,,"36,03",,"8,00","0,78","36,03","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"2,99","3,42","81,95","1,11","0,71",,,"83,77",,"8,00","1,82","83,77","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,22","3,64","17,53","0,29","0,18",,,"17,99",,"10,00","0,47","17,99","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"3,22","3,64","29,21","0,48","0,30",,,"29,99",,"10,00","0,78","29,99","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,12","3,54","67,84","1,11","0,71",,,"69,66",,"10,00","1,82","69,66","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,33","3,74","15,14","0,29","0,18",,,"15,61",,"12,00","0,47","15,61","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"3,33","3,74","25,23","0,48","0,30",,,"26,01",,"12,00","0,78","26,01","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,23","3,64","58,55","1,11","0,71",,,"60,37",,"12,00","1,82","60,37","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,80","4,18","13,08","0,29","0,18",,,"13,55",,"15,00","0,47","13,55","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"3,74","4,12","21,71","0,48","0,30",,,"22,49",,"15,00","0,78","22,49","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,74","4,12","50,65","1,11","0,71",,,"52,47",,"15,00","1,82","52,47","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,96","4,31","10,80","0,29","0,18",,,"11,27",,"20,00","0,47","11,27","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"3,79","4,15","17,75","0,48","0,30",,,"18,53",,"20,00","0,78","18,53","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,79","4,15","41,41","1,11","0,71",,,"43,23",,"20,00","1,82","43,23","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"4,16","4,49","9,58","0,29","0,18",,,"10,05",,"25,00","0,47","10,05","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"3,90","4,24","15,56","0,48","0,30",,,"16,34",,"25,00","0,78","16,34","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"3,90","4,24","36,30","1,11","0,71",,,"38,12",,"25,00","1,82","38,12","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCHILE,"4,22","4,53","8,74","0,29","0,18",,,"9,21",,"30,00","0,47","9,21","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCHILE,"4,10","4,42","14,37","0,48","0,30",,,"15,15",,"30,00","0,78","15,15","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCHILE,"4,10","4,42","33,52","1,11","0,71",,,"35,34",,"30,00","1,82","35,34","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"3,55","3,89","32,91","0,28","0,13",,,"33,32",,"5,00","0,41","33,32","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"3,45","3,79","54,71","0,47","0,21",,,"55,39",,"5,00","0,68","55,39","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"3,45","3,79","127,65","1,09","0,50",,,"129,24",,"5,00","1,59","129,24","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"3,72","4,07","21,79","0,28","0,13",,,"22,20",,"8,00","0,41","22,20","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"3,45","3,81","35,93","0,47","0,21",,,"36,61",,"8,00","0,68","36,61","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"3,45","3,81","83,85","1,09","0,50",,,"85,43",,"8,00","1,59","85,43","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"3,84","4,19","18,15","0,28","0,13",,,"18,56",,"10,00","0,41","18,56","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"3,75","4,10","30,13","0,47","0,21",,,"30,81",,"10,00","0,68","30,81","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"3,75","4,10","70,30","1,09","0,50",,,"71,88",,"10,00","1,59","71,88","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"3,96","4,30","15,78","0,28","0,13",,,"16,19",,"12,00","0,41","16,19","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"3,87","4,22","26,17","0,47","0,21",,,"26,85",,"12,00","0,68","26,85","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"3,87","4,22","61,06","1,09","0,50",,,"62,65",,"12,00","1,59","62,65","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"4,13","4,46","13,48","0,28","0,13",,,"13,88",,"15,00","0,41","13,88","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"4,04","4,38","22,32","0,47","0,21",,,"23,00",,"15,00","0,68","23,00","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"4,04","4,38","52,09","1,09","0,50",,,"53,68",,"15,00","1,59","53,68","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"4,13","4,46","11,06","0,28","0,13",,,"11,47",,"20,00","0,41","11,47","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"4,08","4,41","18,36","0,47","0,21",,,"19,04",,"20,00","0,68","19,04","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"4,08","4,41","42,84","1,09","0,50",,,"44,43",,"20,00","1,59","44,43","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"4,13","4,45","9,65","0,28","0,13",,,"10,06",,"25,00","0,41","10,06","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"4,08","4,40","16,01","0,47","0,21",,,"16,69",,"25,00","0,68","16,69","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"4,08","4,40","37,35","1,09","0,50",,,"38,94",,"25,00","1,59","38,94","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BCI,"4,13","4,44","8,75","0,28","0,13",,,"9,16",,"30,00","0,41","9,16","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BCI,"4,08","4,39","14,49","0,47","0,21",,,"15,17",,"30,00","0,68","15,17","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BCI,"4,08","4,39","33,82","1,09","0,50",,,"35,41",,"30,00","1,59","35,41","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BICE,"3,75",,"33,04","0,02","0,00",,,"33,06",,"5,00","0,02","33,06","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BICE,"3,30",,"54,45","0,02","0,00",,,"54,47",,"5,00","0,02","54,47","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BICE,"3,15",,"126,57","0,02","0,00",,,"126,60",,"5,00","0,02","126,60","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BICE,"3,75",,"21,79","0,02","0,00",,,"21,81",,"8,00","0,02","21,81","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BICE,"3,30",,"35,69","0,02","0,00",,,"35,71",,"8,00","0,02","35,71","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BICE,"3,15",,"82,80","0,02","0,00",,,"82,82",,"8,00","0,02","82,82","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BICE,"3,75",,"18,06","0,02","0,00",,,"18,08",,"10,00","0,02","18,08","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BICE,"3,30",,"29,46","0,02","0,00",,,"29,48",,"10,00","0,02","29,48","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BICE,"3,15",,"68,25","0,02","0,00",,,"68,27",,"10,00","0,02","68,27","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
BICE,"3,85",,"15,67","0,02","0,00",,,"15,69",,"12,00","0,02","15,69","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
BICE,"3,40",,"25,46","0,02","0,00",,,"25,49",,"12,00","0,02","25,49","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
BICE,"3,25",,"58,92","0,02","0,00",,,"58,94",,"12,00","0,02","58,94","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
